Source Name,Source Address,Destination Name,Destination Address,Distance (meters),Duration (seconds)
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",1378,1022
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Houck House,"61 West Lane Avenue, Columbus, OH 43210",1697,1255
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",1655,1222
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",1592,1175
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",1849,1349
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",979,699
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",243,174
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",1295,952
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1251,894
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",362,268
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",0,0
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Norton House,"2114 Neil Avenue, Columbus, OH 43210",1341,985
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",1350,1001
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",527,386
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",560,410
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",347,253
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",166,124
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",1647,1218
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",198,147
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",150,113
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",1327,975
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",397,294
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",642,469
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",1726,1278
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",151,112
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",1504,1103
Marketplace on Neil,"1578 Neil Ave, Columbus, OH 43201",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",232,171
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Archer House,"2130 Neil Avenue, Columbus, OH 43210",461,323
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",821,600
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",839,613
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",117,87
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",210,148
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Bowen House,"2125 N. High Street, Columbus, OH 43210",342,257
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",915,677
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Busch House,"2115 N. High Street, Columbus, OH 43210",236,179
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",1133,839
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",447,313
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",1100,814
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",German House,"141 West 11th Avenue, Columbus, OH 43210",979,724
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",21,16
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",1210,897
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",79,56
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Houck House,"61 West Lane Avenue, Columbus, OH 43210",315,232
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",366,264
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",382,273
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",979,700
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",1349,970
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",1113,819
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",264,184
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1365,980
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",1066,789
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",1356,1001
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Norton House,"2114 Neil Avenue, Columbus, OH 43210",310,217
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",107,75
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",1018,752
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",866,639
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",1680,1248
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",1222,905
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",299,225
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",1190,883
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",1298,963
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",296,207
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",1052,779
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",1016,751
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",327,244
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",1238,916
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",496,350
Curl Market,"80 W Woodruff Ave, Columbus, OH 43210",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",1157,859
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Archer House,"2130 Neil Avenue, Columbus, OH 43210",201,142
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",994,729
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",982,721
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",373,280
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",199,149
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Bowen House,"2125 N. High Street, Columbus, OH 43210",552,415
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",1058,785
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Busch House,"2115 N. High Street, Columbus, OH 43210",541,404
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",1224,903
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",214,153
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",1243,923
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",German House,"141 West 11th Avenue, Columbus, OH 43210",1122,832
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",317,240
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",1353,1005
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",217,164
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Houck House,"61 West Lane Avenue, Columbus, OH 43210",444,332
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",358,266
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",284,210
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",756,545
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",1245,903
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",1084,797
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",32,23
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1151,832
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",1209,897
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",1327,979
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Norton House,"2114 Neil Avenue, Columbus, OH 43210",13,10
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",189,143
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",1161,860
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",1009,747
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",1675,1232
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",1365,1014
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",501,377
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",1333,991
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",1350,999
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",0,0
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",1195,887
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",1220,903
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",474,355
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",1351,998
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",281,203
Connecting Grounds,"160 W Woodruff Ave, Columbus, OH 43210",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",1300,968
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Archer House,"2130 Neil Avenue, Columbus, OH 43210",1071,805
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Baker Hall East,"93 West 12th Avenue, Columbus, OH 43210",351,246
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Baker Hall West,"129 West 12th Avenue, Columbus, OH 43210",263,183
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Barrett House,"88 W. Woodruff Avenue, Columbus, OH 43210",1061,792
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Blackburn House,"136 W. Woodruff Avenue, Columbus, OH 43210",952,731
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Bowen House,"2125 N. High Street, Columbus, OH 43210",1296,976
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Bradley Hall,"221 West 12th Avenue, Columbus, OH 43210",38,28
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Busch House,"2115 N. High Street, Columbus, OH 43210",1194,899
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Canfield Hall,"236 West 11th Avenue, Columbus, OH 43210",333,246
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Drackett Tower,"191 W. Lane Avenue, Columbus, OH 43210",1085,816
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Fechko House,"220 West 11th Avenue, Columbus, OH 43210",386,285
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",German House,"141 West 11th Avenue, Columbus, OH 43210",341,248
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Halloran House,"60 West Woodruff Avenue, Columbus, OH 43210",965,721
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Hanley House,"225 West 10th Avenue, Columbus, OH 43210",488,361
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Haverfield House,"112 W. Woodruff Avenue, Columbus, OH 43210",970,746
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Houck House,"61 West Lane Avenue, Columbus, OH 43210",1289,979
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Houston House,"97 W. Lane Avenue, Columbus, OH 43210",1247,946
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Jones Tower,"123 W. Lane Avenue, Columbus, OH 43210",1184,899
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Lawrence Tower,"328 West Lane Avenue, Columbus, OH 43210",1574,1170
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Lincoln Tower,"1810 Cannon Dr, Columbus, OH 43210",738,523
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Mack Hall,"1698 Neil Avenue, Columbus, OH 43210",194,140
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Mendoza House,"194 West Woodruff Ave., Columbus, OH 43210",943,715
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Morrill Tower,"1900 Cannon Drive, Columbus, OH 43210",1010,718
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Morrison Tower,"196 West 11th Ave., Columbus, OH 43210",353,259
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Neil Avenue,"1578 Neil Avenue, Columbus, OH 43210",437,321
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Norton House,"2114 Neil Avenue, Columbus, OH 43210",989,749
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Nosker House,"124 W. Woodruff Avenue, Columbus, OH 43210",942,725
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Park-Stradley Hall,"120 W. 11th Avenue, Columbus, OH 43210",381,276
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Paterson Hall,"191 West 12th Ave., Columbus, OH 43210",123,88
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Pennsylvania Place,"1478 Pennsylvania Avenue, Columbus, OH 43210",784,574
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Pomerene House,"231 West 10th Avenue, Columbus, OH 43210",476,352
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Raney House,"33 W. Lane Avenue, Columbus, OH 43210",1244,930
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Scholars East,"221 West 10th Avenue, Columbus, OH 43210",477,353
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Scholars West,"249 West 10th Avenue, Columbus, OH 43210",460,341
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Scott House,"160 W. Woodruff Avenue, Columbus, OH 43210",975,739
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Siebert Hall,"184 West 11th Ave., Columbus, OH 43210",339,249
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Smith-Steeb Hall,"80 West 11th Avenue, Columbus, OH 43210",495,359
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Taylor Tower,"55 W. Lane Ave, Columbus, OH 43210",1272,948
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",The Residence on Tenth,"230 West 10th Avenue, Columbus, OH 43210",461,340
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Torres House,"187 W. Lane Avenue, Columbus, OH 43210",1152,866
12 Avenue Bread Company,"257-261 W 12th Ave, Columbus, OH 43210",Worthington Building,"203 West 10th Avenue, Columbus, OH 43210",443,330
